acc_X	acc_Y	acc_Z	digit
239	512	6017	0
224	341	6004	0
164	320	5834	0
54	266	5561	0
-66	155	5189	0
-182	-73	4942	0
-258	-387	4924	0
-318	-534	4796	0
-368	-534	4532	0
-380	-508	4384	0
-402	-488	4288	0
-432	-539	4122	0
-476	-636	3979	0
-524	-760	3813	0
-590	-841	3542	0
-617	-833	3374	0
-614	-804	3390	0
-614	-737	3381	0
-634	-634	3373	0
-647	-601	3378	0
-683	-555	3241	0
-752	-498	3000	0
-811	-556	2878	0
-836	-628	2846	0
-879	-583	2704	0
-919	-570	2511	0
-955	-698	2432	0
-966	-767	2373	0
-928	-480	2240	0
-930	-342	2154	0
-932	-324	2109	0
-905	-169	2093	0
-857	72	2112	0
-813	431	2146	0
-784	751	2133	0
-810	516	2039	0
-823	346	2039	0
-805	496	2059	0
-800	733	1982	0
-743	1100	1991	0
-590	1628	2203	0
-427	1963	2628	0
-351	2126	2870	0
-338	2139	2880	0
-374	2099	2752	0
-266	2380	2672	0
-182	2359	2796	0
-133	2197	3037	0
-55	2154	3317	0
30	2296	3399	0
84	2325	3376	0
168	2220	3561	0
307	2283	3771	0
513	2436	4069	0
683	2452	4496	0
745	2440	4702	0
781	2464	4596	0
968	3033	4731	0
983	2885	5063	0
1045	2718	5217	0
1060	2618	5610	0
1004	2635	5749	0
897	2689	5512	0
862	2594	5441	0
922	2460	5724	0
1014	2294	6048	0
1033	1969	6112	0
1050	1596	6186	0
1105	1305	6339	0
1090	1216	6210	0
987	969	5863	0
933	657	5697	0
852	695	5288	0
742	528	4940	0
695	88	5077	0
678	-132	5176	0
695	-112	5151	0
589	240	4713	0
506	328	4385	0
408	295	4058	0
283	164	3778	0
227	37	3720	0
180	-91	3732	0
161	-260	3761	0
149	-188	3714	0
318	894	3769	0
209	450	3475	0
21	-355	3158	0
-62	-722	3315	0
-21	-738	3629	0
30	-360	3661	0
81	319	3542	0
56	403	3441	0
54	317	3621	0
41	352	3749	0
12	386	3717	0
6	540	3627	0
-38	670	3469	0
-128	605	3360	0
-107	599	3456	0
-60	635	3709	0
-53	514	3915	0
-56	415	3924	0
